Borough Name,NTA Code,NBD Name,Year,Unemployment Rate,Poverty Rate,Population,Median Income,Crime Rate
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2006,4.70%,14.10%,"$49,228","126,730",5072	
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2007,5.00%,12.10%,"$54,644","121,390",4979	
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2008,10.60%,15.60%,"$52,941","128,811",5074	
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2009,9.20%,15.30%,"$49,743","137,599",4950	
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2010,9.80%,14.90%,"$57,653","132,931",4760	
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2011,8.20%,16.50%,"$53,285","127,481",4378	
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2012,9.30%,15.70%,"$57,760","130,581",4695	
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2013,7.40%,21.80%,"$56,767","128,545",4655	
Brooklyn,"['BK30', 'BK31']","Bay Ridge, Dyker Heights",2014,5.10%,12.00%,"$74,205.00","110,032",4282	
NULL,"['BK30', 'BK31']",NULL,2015,NULL,NULL,NULL,NULL,4409	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2006,NA,11.50%,"$76,294.00","108,989",6463	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2007,NA,10.90%,"$81,035.00","118,144",6153	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2008,8.60%,8.40%,"$90,261.00","118,886",6134	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2009,7.90%,11.30%,"$85,301.00","119,558",5522	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2010,8.50%,10.30%,"$89,009.00","112,066",5868	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2011,7.40%,10.50%,"$88,610.00","109,204",5847	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2012,6.80%,10.50%,"$95,212.00","113,036",6075	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2013,6.80%,9.10%,"$113,187.00","125,062",5321	
Brooklyn,"['BK37', 'BK33']","Park Slope, Carroll Gardens COLUMBIA STREET-RED HOOK",2014,4.40%,20.80%,"$46,867.00","153,066",5480	
NULL,"['BK37', 'BK33']",NULL,2015,NULL,NULL,NULL,NULL,5125	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2006,5.40%,24.30%,"$38,589.00","146,760",6354	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2007,5.50%,22.80%,"$43,750.00","147,678",5971	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2008,11.20%,27.60%,"$39,143.00","158,333",6190	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2009,12.90%,26.70%,"$41,552.00","141,190",5777	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2010,8.50%,23.50%,"$43,380.00","152,038",6087	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2011,10.50%,31.60%,"$42,116.00","151,902",5812	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2012,9.90%,28.70%,"$43,924.00","153,666",6047	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2013,6.50%,27.60%,"$48,112.00","152,685",5958	
Brooklyn,"['BK40', 'BK34', 'BK32']","Sunset Park, Windsor Terrace",2014,7.30%,18.10%,"$40,120","163,099",5780	
NULL,"['BK40', 'BK34', 'BK32']",NULL,2015,NULL,NULL,NULL,NULL,5758	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2006,4.90%,21.00%,"$41,216","160,783",12016	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2007,5.60%,21.60%,"$41,255","172,592",10956	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2008,10.50%,25.10%,"$40,372","163,298",11097	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2009,11.10%,22.40%,"$44,296","162,715",10337	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2010,11.20%,22.00%,"$41,266","162,760",9973	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2011,9.90%,18.70%,"$41,759","148,198",9882	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2012,10.30%,21.40%,"$42,232","155,520",10094	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2013,8.80%,20.80%,"$50,379","180,723",9602	
Brooklyn,"['BK43', 'BK42', 'BK44', 'BK45']","Flatbush, Midwood, Madison, GEORGETOWN-MARINE PARK-BERGEN BEACH-MILL BASIN ",2014,5.50%,10.80%,"$59,116","204,600",9570	
NULL,"['BK43', 'BK42', 'BK44', 'BK45']",NULL,2015,NULL,NULL,NULL,NULL,9420	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2006,4.00%,9.10%,"$61,063","202,387",8916	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2007,7.10%,12.80%,"$62,202","206,947",8227	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2008,7.40%,9.30%,"$63,833","213,442",8473	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2009,8.30%,11.40%,"$60,498","202,929",8014	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2010,12.30%,13.70%,"$60,788","205,095",7821	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2011,11.40%,12.10%,"$62,546","204,158",8030	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2012,12.40%,12.40%,"$63,941","202,762",8117	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2013,8.40%,12.90%,"$62,168","210,957",7526	
Brooklyn,"['BK50', 'BK58']","Canarsie, Flatlands",2014,11.30%,22.30%,"$34,151.00","110,333",7440	
NULL,"['BK50', 'BK58']",NULL,2015,NULL,NULL,NULL,NULL,7488	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2006,10.50%,20.90%,"$38,892.00","112,052",7518	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2007,10.80%,18.80%,"$37,202.00","111,833",7285	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2008,13.30%,19.70%,"$37,517.00","109,170",7188	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2009,20.20%,25.60%,"$39,898.00","107,419",7027	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2010,17.40%,21.60%,"$38,182.00","113,947",7539	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2011,13.20%,22.90%,"$39,250.00","113,485",7282	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2012,15.00%,21.60%,"$41,639.00","110,415",7072	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2013,10.70%,21.90%,"$41,867.00","109,337",7115	
Brooklyn,"['BK60', 'BK63']","Crown Heights South, Wingate, Lefferts Gardens",2014,12.70%,22.90%,"$38,524.00","127,013",7170	
NULL,"['BK60', 'BK63']",NULL,2015,NULL,NULL,NULL,NULL,6899	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2006,9.40%,26.40%,"$35,520.00","129,870",10603	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2007,8.40%,26.20%,"$38,919.00","122,392",11236	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2008,10.80%,24.80%,"$38,430.00","125,931",10638	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2009,10.10%,25.90%,"$39,669.00","119,323",10287	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2010,14.40%,26.90%,"$41,307.00","126,360",10586	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2011,12.70%,26.90%,"$42,401.00","120,243",10954	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2012,12.10%,26.90%,"$41,618.00","124,629",10966	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2013,8.10%,24.60%,"$44,961.00","126,747",10993	
Brooklyn,"['BK61', 'BK64']","Crown Heights North, Propspect Heights",2014,6.80%,20.40%,"$54,953.00","111,796",10702	
NULL,"['BK61', 'BK64']",NULL,2015,NULL,NULL,NULL,NULL,9311	
Brooklyn,"['BK68', 'BK09', 'BK69', 'BK38']","Brooklyn Heights - Cobble Hill, Fort Greene, Clinton Hill, DUMBO-Vinegar Hill-DOWNTOWN BROOKLYN-BOERUM HILL",2006,6.60%,22.00%,"$64,046.00","116,753",10941	
Brooklyn,"['BK68', 'BK09', 'BK69', 'BK38']","Brooklyn Heights - Cobble Hill, Fort Greene, Clinton Hill, DUMBO-Vinegar Hill-DOWNTOWN BROOKLYN-BOERUM HILL",2007,7.60%,20.60%,"$61,960.00","116,528",11140	
Brooklyn,"['BK68', 'BK09', 'BK69', 'BK38']","Brooklyn Heights - Cobble Hill, Fort Greene, Clinton Hill, DUMBO-Vinegar Hill-DOWNTOWN BROOKLYN-BOERUM HILL",2008,9.60%,17.40%,"$66,156.00","121,297",10723	
Brooklyn,"['BK68', 'BK09', 'BK69', 'BK38']","Brooklyn Heights - Cobble Hill, Fort Greene, Clinton Hill, DUMBO-Vinegar Hill-DOWNTOWN BROOKLYN-BOERUM HILL",2009,10.40%,18.10%,"$73,835.00","125,468",9798	
